,Nameabv_x,Name_long_x,Date,Frame No.,bin_0_x,bin_1_x,bin_2_x,bin_3_x,bin_4_x,bin_5_x,bin_6_x,bin_7_x,bin_8_x,Cluster_num_x,Nameabv_y,Name_long_y,bin_0_y,bin_1_y,bin_2_y,bin_3_y,bin_4_y,bin_5_y,bin_6_y,bin_7_y,bin_8_y,Cluster_num_y
21,Joe Biden,JBi,07-Feb-23,22,0.0,0.0,0.1897867440719731,0.2877042934484607,0.0,0.0,0.0,0.3110789312563215,0.0,2,Joe Biden,JBi,0.0,0.0,0.09705950376860933,0.02746111156304612,0.0,0.0,0.0007393971171746616,0.057206167394247526,0.0,0
22,Joe Biden,JBi,07-Feb-23,23,0.0,0.0,0.0,0.052967045603669966,0.0,0.0,0.0,0.0,0.0,0,Joe Biden,JBi,0.18613040985756107,0.0,0.0,0.1546223663610547,0.0,0.0,0.0,0.0,0.05600008041822083,0
23,Joe Biden,JBi,07-Feb-23,24,0.0,0.0,0.13210527235706615,0.0,0.0,0.17046388333432433,0.05941342739991626,0.0723457014086038,0.0,0,Joe Biden,JBi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
24,Joe Biden,JBi,07-Feb-23,25,0.0,0.0,0.0,0.0,0.0,0.0,0.1021161953201628,0.1349501009602514,0.0,0,Joe Biden,JBi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
25,Joe Biden,JBi,07-Feb-23,26,0.0,0.24817952883218253,0.0,0.3273794528118737,0.09752314617256064,0.0,0.0,0.1902469301144874,0.0,2,Joe Biden,JBi,0.0,0.0,0.0,0.0,0.0,0.009687753963857099,0.0,0.0,0.03318435705177333,0
26,Joe Biden,JBi,07-Feb-23,27,0.04553523758759992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Joe Biden,JBi,0.0,0.0,0.05162583817395269,0.002059171683111094,0.0,0.0074330849684306755,0.018249390131739845,0.0,0.07030527837332953,0
27,Joe Biden,JBi,07-Feb-23,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Joe Biden,JBi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
28,Joe Biden,JBi,01-Mar-22,1,0.0,0.0,0.0,0.0,0.0,0.0,0.1542841613655735,0.0,0.0,0,Joe Biden,JBi,0.0,0.0,0.10748597357283382,0.005429849303330181,0.0,0.0,0.0,0.0,0.0,0
29,Joe Biden,JBi,01-Mar-22,2,0.0,0.0,0.08848388999429158,0.0,0.0,0.0,0.040599400587185475,0.061589939453673304,0.0945530656840386,0,Joe Biden,JBi,0.0030096463498948123,0.0,0.0,0.0,0.0,0.0,0.04456437311707284,0.0,0.0,0
30,Joe Biden,JBi,01-Mar-22,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Joe Biden,JBi,0.0,0.08459000025527583,0.05651375779727688,0.0,0.0,0.09467166424858037,0.0,0.0,0.0,0
31,Joe Biden,JBi,01-Mar-22,4,0.0,0.0,0.0,0.0008947003686568256,0.0,0.0,0.0,0.13910112129221663,0.0,0,Joe Biden,JBi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
32,Joe Biden,JBi,01-Mar-22,5,0.0,0.0,0.0,0.010109962088603486,0.0,0.0,0.0,0.0,0.0,0,Joe Biden,JBi,0.0,0.0,0.0,0.11081697671303203,0.0,0.04795797942664973,0.0,0.0,0.0,0
33,Joe Biden,JBi,01-Mar-22,6,0.0,0.0,0.033410477368353314,0.0,0.0353032722849346,0.0,0.03176523927536909,0.0,0.0,0,Joe Biden,JBi,0.0,0.0,0.0,0.017690969237410092,0.13638518634805813,0.0,0.08928689765843617,0.0,0.0,0
34,Joe Biden,JBi,01-Mar-22,7,0.0,0.0,0.0,0.0,0.0,0.0,0.1600703107128903,0.0,0.0,0,Joe Biden,JBi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
35,Joe Biden,JBi,01-Mar-22,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Joe Biden,JBi,0.06776598276348247,0.0,0.0031458225725214117,0.0,0.0,0.21572868097557674,0.0,0.0,0.0,2
36,Joe Biden,JBi,01-Mar-22,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07653569968882071,0.0,0,Joe Biden,JBi,0.0,0.0,0.0,0.0,0.004245144152891345,0.21740217218151248,0.02844576181461042,0.27460399568173943,0.36706766659884527,1
37,Joe Biden,JBi,01-Mar-22,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Joe Biden,JBi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
38,Joe Biden,JBi,01-Mar-22,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Joe Biden,JBi,0.0,0.0,0.0,0.0,0.017436784160098473,0.13229912293356844,0.0,0.0,0.0,0
39,Joe Biden,JBi,01-Mar-22,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19612863897388338,0.0,2,Joe Biden,JBi,0.09913008377217553,0.18314098047547772,0.0,0.0,0.0,0.0,0.0,0.10395907040490512,0.0,0
40,Joe Biden,JBi,01-Mar-22,13,0.0,0.0,0.0,0.0,0.0,0.012611463625426617,0.0,0.0,0.0,0,Joe Biden,JBi,0.0,0.0,0.0,0.0,0.0,0.2773678311994617,0.0,0.0,0.0,2
41,Joe Biden,JBi,01-Mar-22,14,0.027315711104999002,0.014975872246340866,0.0,0.0,0.0,0.0,0.0,0.13096927948120324,0.0,0,Joe Biden,JBi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
42,Joe Biden,JBi,01-Mar-22,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Joe Biden,JBi,0.0,0.0,0.0,0.609239048601722,0.02012770840839509,0.0,0.0,0.0,0.0,0
43,Joe Biden,JBi,01-Mar-22,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17692302951897615,0,Joe Biden,JBi,0.0,0.0,0.07318044888375708,0.031858819442968894,0.0,0.0,0.0,0.0,0.0,0
44,Joe Biden,JBi,01-Mar-22,17,0.0,0.0,0.0,0.0,0.0,0.06450401684682472,0.4926052995709037,0.0809829708930887,0.0,1,Joe Biden,JBi,0.0,0.0,0.0,0.0,0.04268182764893172,0.28032421508959593,0.0,0.0,0.02838564199128296,2
45,Joe Biden,JBi,01-Mar-22,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Joe Biden,JBi,0.0,0.0,0.23262238634402893,0.0,0.0,0.0,0.03220703529807928,0.0,0.0,0
46,Joe Biden,JBi,01-Mar-22,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Joe Biden,JBi,0.0670403277007885,0.0,0.0,0.07650387995761632,0.0,0.0,0.0,0.0,0.0,0
47,Joe Biden,JBi,01-Mar-22,20,0.0,0.0192565742765122,0.0,0.0,0.0,0.0,0.015142011555993262,0.0,0.0,0,Joe Biden,JBi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
48,Joe Biden,JBi,01-Mar-22,21,0.0,0.141554534167257,0.0,0.1139985026949123,0.0,0.0,0.041637494214446874,0.0,0.0,0,Joe Biden,JBi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
49,Joe Biden,JBi,01-Mar-22,22,0.0,0.0786059189502078,0.02289910736775666,0.0,0.0,0.0,0.116827208148723,0.0,0.0,0,Joe Biden,JBi,0.0,0.0,0.0,0.018053096754529985,0.0,0.0,0.0,0.0,0.0,0
