,Nameabv,Name_long,Date,Frame No.,bin_0,bin_1,bin_2,bin_3,bin_4,bin_5,bin_6,bin_7,bin_8
40,Joe Biden,JBi,01-Mar-22,13,0.0,0.0,0.0,0.0,0.0,0.2773678311994617,0.0,0.0,0.0
41,Joe Biden,JBi,01-Mar-22,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,Joe Biden,JBi,01-Mar-22,15,0.0,0.0,0.0,0.609239048601722,0.02012770840839509,0.0,0.0,0.0,0.0
43,Joe Biden,JBi,01-Mar-22,16,0.0,0.0,0.07318044888375708,0.031858819442968894,0.0,0.0,0.0,0.0,0.0
44,Joe Biden,JBi,01-Mar-22,17,0.0,0.0,0.0,0.0,0.04268182764893172,0.28032421508959593,0.0,0.0,0.02838564199128296
45,Joe Biden,JBi,01-Mar-22,18,0.0,0.0,0.23262238634402893,0.0,0.0,0.0,0.03220703529807928,0.0,0.0
46,Joe Biden,JBi,01-Mar-22,19,0.0670403277007885,0.0,0.0,0.07650387995761632,0.0,0.0,0.0,0.0,0.0
47,Joe Biden,JBi,01-Mar-22,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,Joe Biden,JBi,01-Mar-22,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,Joe Biden,JBi,01-Mar-22,22,0.0,0.0,0.0,0.018053096754529985,0.0,0.0,0.0,0.0,0.0
50,Joe Biden,JBi,01-Mar-22,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,Joe Biden,JBi,01-Mar-22,24,0.0,0.0,0.09242201064257671,0.13616189575212173,0.0,0.0,0.0,0.0,0.0
52,Joe Biden,JBi,01-Mar-22,25,0.0,0.0,0.0,0.0,0.060755080710748366,0.0,0.0,0.0,0.0
53,Joe Biden,JBi,06-Jan-22,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,Joe Biden,JBi,06-Jan-22,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,Joe Biden,JBi,06-Jan-22,3,0.0,0.0,0.0,0.0,0.04730412636740178,0.0,0.08660760129048023,0.0,0.0
56,Joe Biden,JBi,06-Jan-22,4,0.09606409324207826,0.0,0.001381345691843866,0.0,0.13541605558205722,0.0,0.052232558931830875,0.09748209568786084,0.0
57,Joe Biden,JBi,06-Jan-22,5,0.044062021679714736,0.0,0.0,0.0,0.10518436219296984,0.0,0.0,0.0,0.037277336071989076
58,Joe Biden,JBi,06-Jan-22,6,0.0,0.050239066785737224,0.0,0.0,0.2525924409898392,0.0,0.07766060394297167,0.0,0.0
59,Joe Biden,JBi,06-Jan-22,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,Joe Biden,JBi,06-Jan-22,8,0.0,0.0,0.0,0.05137775425778232,0.0,0.0,0.0,0.0,0.0
61,Joe Biden,JBi,06-Jan-22,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,Joe Biden,JBi,06-Jan-22,10,0.0,0.0,0.0,0.10762203662639433,0.029175397404977516,0.0,0.0,0.0,0.0
63,Joe Biden,JBi,06-Jan-22,11,0.0,0.0,0.0,0.0,0.27167733019561996,0.255841375868842,0.03870778104389777,0.0,0.0
64,Joe Biden,JBi,06-Jan-22,12,0.0,0.0,0.0,0.01290744568329133,0.0,0.018696811557065762,0.0,0.0,0.0
65,Joe Biden,JBi,15-Nov-21,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,Joe Biden,JBi,15-Nov-21,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,Joe Biden,JBi,15-Nov-21,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,Joe Biden,JBi,15-Nov-21,4,0.0,0.0,0.0,0.0,0.0,0.00398855164961795,0.0,0.0,0.0
69,Joe Biden,JBi,15-Nov-21,5,0.0,0.0,0.0,0.0,0.0,0.22609254777959564,0.179086093105283,0.05927060679588661,0.0
70,Joe Biden,JBi,15-Nov-21,6,0.01356126212165748,0.47620586168096146,0.03614517459985006,0.15362928250333147,0.0,0.26683720376488923,0.0,0.07615508263147311,0.0009779994825453997
71,Joe Biden,JBi,15-Nov-21,7,0.0,0.0,0.0,0.004301496962245077,0.0,0.0,0.0,0.0,0.0
72,Joe Biden,JBi,15-Nov-21,8,0.15322002353894643,0.033369359923692166,0.0,0.0254965792939299,0.0,0.11487315926173153,0.0,0.0,0.0
73,Joe Biden,JBi,15-Nov-21,9,0.0,0.05048143299962879,0.0,0.0,0.0,0.12685437694038587,0.0,0.0,0.011175341106987091
74,Joe Biden,JBi,15-Nov-21,10,0.030185579157981646,0.0,0.22688000609037007,0.11471152021208392,0.0,0.3162634002728498,0.0,0.0,0.0
75,Joe Biden,JBi,15-Nov-21,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,Joe Biden,JBi,15-Nov-21,12,0.04335462571349638,0.0,0.0,0.0,0.0,0.48029624095248913,0.0,0.0,0.0
77,Joe Biden,JBi,15-Nov-21,13,0.0,0.0,0.0,0.23359187114516394,0.0,0.0,0.0,0.006221661159291125,0.0
78,Joe Biden,JBi,15-Nov-21,14,0.0,0.0,0.0,0.006812634067836526,0.0,0.0,0.0,0.0,0.0
79,Joe Biden,JBi,15-Nov-21,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,Joe Biden,JBi,01-Jun-21,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,Joe Biden,JBi,01-Jun-21,2,0.024036697726344203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82,Joe Biden,JBi,01-Jun-21,3,0.0,0.0,0.0,0.0,0.0,0.09547193438349752,0.0,0.007298515958202356,0.0
83,Joe Biden,JBi,01-Jun-21,4,0.0,0.02718231810810451,0.0,0.09452764921911738,0.0,0.0,0.01785012969171501,0.0,0.22379010908949692
84,Joe Biden,JBi,01-Jun-21,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85,Joe Biden,JBi,01-Jun-21,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86,Joe Biden,JBi,01-Jun-21,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87,Joe Biden,JBi,01-Jun-21,8,0.0,0.012794446686920063,0.0,0.029953049410846283,0.0,0.0,0.030343622763372435,0.0,0.0
88,Joe Biden,JBi,01-Jun-21,9,0.0,0.0,0.0,0.004000954840048115,0.0,0.0,0.014760516264829548,0.02718678910815467,0.0
89,Joe Biden,JBi,01-Jun-21,10,0.0,0.0,0.7622888469686051,0.38882795462631625,0.0,0.07781330690228541,0.1242084334182732,0.0,0.0
90,Joe Biden,JBi,01-Jun-21,11,0.0,0.0,0.0,0.009434106038862605,0.0,0.018197771411924885,0.0,0.0,0.0
91,Joe Biden,JBi,01-Jun-21,12,0.0,0.0,0.0,0.023323550407480187,0.0,0.03604167009934103,0.0,0.0,0.0
92,Joe Biden,JBi,01-Jun-21,13,0.0,0.0,0.0,0.08197600050333342,0.0,0.0,0.0,0.0,0.0
93,Joe Biden,JBi,01-Jun-21,14,0.15713825013689353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94,Joe Biden,JBi,01-Jun-21,15,0.17403582591986672,0.0,0.0,0.0,0.05976201696318015,0.048154669145016565,0.0,0.0,0.0
95,Joe Biden,JBi,01-Jun-21,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96,Joe Biden,JBi,01-Jun-21,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97,Joe Biden,JBi,01-Jun-21,18,0.04590340537535728,0.03683218041904157,0.3732578751398997,0.0,0.0,0.0,0.1789346964495766,0.0,0.0
98,Joe Biden,JBi,01-Jun-21,19,0.0,0.0,0.0,0.2356649072709363,0.0,0.0,0.0,0.0,0.0
99,Joe Biden,JBi,01-Jun-21,20,0.0,0.0,0.0,0.0,0.0,0.12241792326926271,0.0,0.0,0.0
100,Joe Biden,JBi,01-Jun-21,21,0.0,0.20842977072031454,0.0,0.0314712954344008,0.02877475048626077,0.15060912500515033,0.0,0.0,0.10621048096944263
101,Donald Trump,DTr,26-Sep-20,1,0.42881227832588376,0.0,0.0,0.12629521584866082,0.0,0.036339293825816465,0.0,0.33533879418377843,0.0
102,Donald Trump,DTr,26-Sep-20,2,0.6307415982455075,0.0,0.051582885870302714,0.14678253508763922,0.0,0.009213828779702476,0.8617358582836798,0.0,0.0
103,Donald Trump,DTr,26-Sep-20,3,0.603634056614251,0.0,0.0,0.0,0.0,0.0,0.10557879192332342,0.2534329104364955,0.0
104,Donald Trump,DTr,26-Sep-20,4,0.6108181313463906,0.0,0.3681232335451059,0.14442806763390525,0.0,0.0,0.0,0.05796059565642997,0.0
105,Donald Trump,DTr,26-Sep-20,5,0.3737931668177853,0.0,0.0,0.26392071968285485,0.045099893163302346,0.0,0.08191687420358301,0.0,0.09042258621419613
106,Donald Trump,DTr,26-Sep-20,6,0.3003750118346683,0.0,0.023033915746072636,0.0,0.06644908929170487,0.6365267860634082,0.0,0.24911641024623332,0.0
107,Donald Trump,DTr,26-Sep-20,7,0.08200278716436318,0.0,0.019255223401096422,0.04121794788702576,0.0,0.18901436999960963,0.0,0.0,0.0
108,Donald Trump,DTr,26-Sep-20,8,0.09765858600404023,0.0,0.0,0.0,0.09202776048827116,0.02049701006899876,0.0,0.0,0.0
