,Unnamed: 0,Nameabv,Name_long,Date,Frame No.,bin_0,bin_1,bin_2,bin_3,bin_4,bin_5,bin_6,bin_7,bin_8,maxbin,Date_Frame
33,33,Joe Biden,JBi,01-Mar-22,6,0.0,0.0,0.0,0.0,0.044209091870511315,0.0,0.0,0.0,0.0,4,01-Mar-22_Frame_6
34,34,Joe Biden,JBi,01-Mar-22,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,01-Mar-22_Frame_7
35,35,Joe Biden,JBi,01-Mar-22,8,0.0,0.0,0.0,0.0,0.0,0.12355258649802993,0.0,0.0,0.0,5,01-Mar-22_Frame_8
36,36,Joe Biden,JBi,01-Mar-22,9,0.0,0.0,0.0,0.0,0.0,0.12522607770396565,0.0,0.1824279012041926,0.27489157212129844,8,01-Mar-22_Frame_9
37,37,Joe Biden,JBi,01-Mar-22,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,01-Mar-22_Frame_10
38,38,Joe Biden,JBi,01-Mar-22,11,0.0,0.0,0.0,0.0,0.0,0.04012302845602162,0.0,0.0,0.0,5,01-Mar-22_Frame_11
39,39,Joe Biden,JBi,01-Mar-22,12,0.006953989294628704,0.0909648859979309,0.0,0.0,0.0,0.0,0.0,0.011782975927358302,0.0,7,01-Mar-22_Frame_12
40,40,Joe Biden,JBi,01-Mar-22,13,0.0,0.0,0.0,0.0,0.0,0.18519173672191488,0.0,0.0,0.0,5,01-Mar-22_Frame_13
41,41,Joe Biden,JBi,01-Mar-22,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,01-Mar-22_Frame_14
42,42,Joe Biden,JBi,01-Mar-22,15,0.0,0.0,0.0,0.5170629541241751,0.0,0.0,0.0,0.0,0.0,3,01-Mar-22_Frame_15
43,43,Joe Biden,JBi,01-Mar-22,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,01-Mar-22_Frame_16
44,44,Joe Biden,JBi,01-Mar-22,17,0.0,0.0,0.0,0.0,0.0,0.1881481206120491,0.0,0.0,0.0,5,01-Mar-22_Frame_17
45,45,Joe Biden,JBi,01-Mar-22,18,0.0,0.0,0.1404462918664821,0.0,0.0,0.0,0.0,0.0,0.0,2,01-Mar-22_Frame_18
46,46,Joe Biden,JBi,01-Mar-22,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,01-Mar-22_Frame_19
47,47,Joe Biden,JBi,01-Mar-22,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,01-Mar-22_Frame_20
48,48,Joe Biden,JBi,01-Mar-22,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,01-Mar-22_Frame_21
49,49,Joe Biden,JBi,01-Mar-22,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,01-Mar-22_Frame_22
