,Unnamed: 0,Nameabv,Name_long,Date,Frame No.,bin_0,bin_1,bin_2,bin_3,bin_4,bin_5,bin_6,bin_7,bin_8,maxbin,Date_Frame,FNO,Date1
30,30,Joe Biden,JBi,01-Mar-22,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,01-Mar-22_Frame_3,3,01-Mar-22
31,31,Joe Biden,JBi,01-Mar-22,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,01-Mar-22_Frame_4,4,01-Mar-22
32,32,Joe Biden,JBi,01-Mar-22,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,01-Mar-22_Frame_5,5,01-Mar-22
33,33,Joe Biden,JBi,01-Mar-22,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,01-Mar-22_Frame_6,6,01-Mar-22
34,34,Joe Biden,JBi,01-Mar-22,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,01-Mar-22_Frame_7,7,01-Mar-22
35,35,Joe Biden,JBi,01-Mar-22,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,01-Mar-22_Frame_8,8,01-Mar-22
36,36,Joe Biden,JBi,01-Mar-22,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,01-Mar-22_Frame_9,9,01-Mar-22
37,37,Joe Biden,JBi,01-Mar-22,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,01-Mar-22_Frame_10,10,01-Mar-22
38,38,Joe Biden,JBi,01-Mar-22,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,01-Mar-22_Frame_11,11,01-Mar-22
39,39,Joe Biden,JBi,01-Mar-22,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02624459857376199,0.0,7,01-Mar-22_Frame_12,12,01-Mar-22
40,40,Joe Biden,JBi,01-Mar-22,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,01-Mar-22_Frame_13,13,01-Mar-22
41,41,Joe Biden,JBi,01-Mar-22,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,01-Mar-22_Frame_14,14,01-Mar-22
42,42,Joe Biden,JBi,01-Mar-22,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,01-Mar-22_Frame_15,15,01-Mar-22
43,43,Joe Biden,JBi,01-Mar-22,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007038989118854755,8,01-Mar-22_Frame_16,16,01-Mar-22
44,44,Joe Biden,JBi,01-Mar-22,17,0.0,0.0,0.0,0.0,0.0,0.0,0.3227212591707823,0.0,0.0,6,01-Mar-22_Frame_17,17,01-Mar-22
45,45,Joe Biden,JBi,01-Mar-22,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,01-Mar-22_Frame_18,18,01-Mar-22
46,46,Joe Biden,JBi,01-Mar-22,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,01-Mar-22_Frame_19,19,01-Mar-22
47,47,Joe Biden,JBi,01-Mar-22,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,01-Mar-22_Frame_20,20,01-Mar-22
