,Nameabv,Name_long,Date,Frame No.,Sen1,Sen2,Sen3,Sen4,Sen5,Sen6,Sen7,Sen8,Sen9,Sen10,Sen11,Sen12,Sen13,Sen14,Sen15,Sen16
30,JBi,Joe Biden,01-Mar-22,3,0.0,-0.4767,0.3612,0.0,0.34,-0.1779,0.0,0.0516,-0.128,0.5106,0.7506,-0.1027,-0.3182,0.4215,-0.128,-0.4588
31,JBi,Joe Biden,01-Mar-22,4,-0.3818,-0.7798,0.7506,0.0,0.34,0.29600000000000004,0.0258,-0.4588,-0.5267,0.6486,0.0,0.0,0.0,0.34,0.2732,0.069
32,JBi,Joe Biden,01-Mar-22,5,-0.2023,0.3818,0.6597,0.0,0.1779,-0.1027,-0.8316,-0.1531,0.4767,0.7003,0.0,0.1027,0.3818,0.4215,0.0,0.6557
33,JBi,Joe Biden,01-Mar-22,6,0.4019,-0.128,0.29600000000000004,-0.6369,-0.3163,0.6990000000000001,0.4019,0.7184,0.0,0.0,0.5267,0.0,-0.5667,0.21,0.5343,0.0
34,JBi,Joe Biden,01-Mar-22,7,-0.5574,-0.4215,0.0,-0.0516,0.0,0.1779,-0.4019,0.0,-0.7703,-0.34,0.4767,-0.2732,0.0,0.5423,0.0,0.25
35,JBi,Joe Biden,01-Mar-22,8,0.0,0.4588,0.6705,0.6068,-0.1779,0.25,0.0,0.0,0.0,-0.1511,0.2006,0.6369,0.0,0.0,0.3327,0.6705
36,JBi,Joe Biden,01-Mar-22,9,0.0,0.0,0.5859,-0.3412,0.6124,-0.5267,-0.25,0.0,0.0,0.4019,0.6486,0.6124,0.0,0.3182,0.7184,0.608
37,JBi,Joe Biden,01-Mar-22,10,0.3327,-0.2023,-0.2617,0.0,0.5984,0.0,0.0,0.0,0.0,0.5859,0.0,0.0,0.0,0.0,0.0,0.0
38,JBi,Joe Biden,01-Mar-22,11,0.1877,0.0,0.5859,0.34,0.0,0.0,0.29600000000000004,0.29600000000000004,0.25,0.3612,0.0,0.4019,0.34,0.0,0.2023,-0.1531
39,JBi,Joe Biden,01-Mar-22,12,0.0,0.0,0.0,0.0,0.0,0.0,-0.6249,0.0772,-0.29600000000000004,0.0,0.4336,0.0,0.4404,0.0,0.4404,-0.8271
40,JBi,Joe Biden,01-Mar-22,13,0.0516,0.5829,0.0,0.0,0.0,0.0,0.0,0.0,0.3612,0.0,-0.0258,0.6124,0.0,0.0,0.5719,0.0
41,JBi,Joe Biden,01-Mar-22,14,0.3384,0.0772,0.9337,0.0,0.2732,0.8844,0.4939,0.4215,0.4215,0.6204,-0.29600000000000004,0.4939,0.0,0.0,-0.29600000000000004,-0.1027
42,JBi,Joe Biden,01-Mar-22,15,0.0,0.1376,0.0,0.4168,0.8402,0.4404,-0.2411,0.0,0.3612,0.0498,0.0,-0.29600000000000004,0.0,0.0,-0.4215,0.3348
43,JBi,Joe Biden,01-Mar-22,16,-0.5729,0.34,-0.1531,-0.1027,-0.4019,-0.5859,-0.4404,0.0,0.0,0.4404,0.0,0.4404,0.0,0.0,0.0,0.8555
44,JBi,Joe Biden,01-Mar-22,17,0.7096,-0.0516,-0.4341,0.802,-0.1531,0.4404,0.0,-0.8316,0.0,0.7184,-0.5859,0.0,0.5106,0.0258,0.5423,-0.2924
45,JBi,Joe Biden,01-Mar-22,18,-0.34,0.0,0.4939,0.4404,0.5256,0.3612,0.0,0.3612,0.2732,0.3612,0.2023,0.0,0.0,0.34,0.34,-0.5994
46,JBi,Joe Biden,01-Mar-22,19,0.5106,0.5106,0.0,0.4404,0.0,0.3612,-0.2411,0.5859,0.0,0.0,0.6249,0.4404,0.0,0.0,0.0,0.0
47,JBi,Joe Biden,01-Mar-22,20,0.0,0.4939,0.5106,0.0,0.0,0.0772,0.0,0.0,-0.29600000000000004,-0.3182,0.0,-0.7703,0.0,-0.29600000000000004,-0.6597,0.0
48,JBi,Joe Biden,01-Mar-22,21,0.0,-0.3818,-0.8779,0.0,0.0,0.0,0.7003,0.0,0.5859,0.3959,0.7351,0.7964,-0.29600000000000004,-0.2263,0.3612,0.3818
49,JBi,Joe Biden,01-Mar-22,22,0.4404,-0.7096,-0.7579,0.0,-0.7845,-0.8834,-0.4939,0.0,0.4939,0.0,-0.5859,0.0,0.0,0.0,0.6369,0.0
50,JBi,Joe Biden,01-Mar-22,23,0.0,0.9678,0.7096,0.701,0.0,0.8689,0.2023,0.1027,0.0,0.0,0.0,0.8481,0.0,0.3182,0.0,-0.2732
51,JBi,Joe Biden,01-Mar-22,24,0.8107,0.5267,0.0,0.0,0.4019,0.3182,0.0,0.7783,-0.4767,0.7269,0.0,0.4939,0.0,-0.4767,0.0258,0.1754
52,JBi,Joe Biden,01-Mar-22,25,0.0,-0.1027,-0.4215,0.2023,0.0,0.0,0.0,0.0,-0.29600000000000004,-0.29600000000000004,-0.29600000000000004,0.0,0.0,0.0,0.0,0.0
53,JBi,Joe Biden,06-Jan-22,1,-0.4588,-0.5859,-0.6249,-0.25,0.0,0.0,0.0,0.0931,-0.5106,-0.5106,-0.2023,0.4215,-0.5994,0.0,0.0,0.0
54,JBi,Joe Biden,06-Jan-22,2,0.0,0.0,0.0,0.0,0.3182,0.5719,0.7845,0.3182,0.5267,0.0,0.0,-0.5423,-0.5994,0.0,0.0,0.0
