,Nameabv,Name_long,Date,Frame No.,Sen1,Sen2,Sen3,Sen4,Sen5,Sen6,Sen7,Sen8,Sen9,Sen10,Sen11,Sen12,Sen13,Sen14,Sen15,Sen16
25,JBi,Joe Biden,07-Feb-23,26,0.1,0.05000000000000002,0.0,0.0,0.19047619047619047,0.0,0.1875,0.0,0.07878787878787878,0.0,0.0,-0.875,0.0,0.0,0.0,0.0
26,JBi,Joe Biden,07-Feb-23,27,0.25,0.0,0.274025974025974,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,JBi,Joe Biden,07-Feb-23,28,-0.05,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,JBi,Joe Biden,01-Mar-22,1,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.0,0.0,-0.3,-0.6999999999999998,0.0,0.0,0.0,0.0
29,JBi,Joe Biden,01-Mar-22,2,0.0,0.0,0.4,0.0,0.5,0.5,0.0,0.0,0.4,-0.125,0.0,0.0,0.0,0.5,0.0,0.0
30,JBi,Joe Biden,01-Mar-22,3,0.0,-0.5,0.2,0.0,-0.05,-0.1125,-0.03333333333333333,-2.7755575615628914e-17,0.0,0.4,0.21212121212121213,0.25,0.5,0.26190476190476186,-0.2,-0.26666666666666666
31,JBi,Joe Biden,01-Mar-22,4,0.05,-0.3875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.2,0.0,0.3,0.0,0.05000000000000001
32,JBi,Joe Biden,01-Mar-22,5,0.0,0.0,0.225,0.0,0.10714285714285714,-0.1638888888888889,0.0,0.055,0.35000000000000003,0.6,-0.0625,0.3,0.0,-0.125,0.6,0.2333333333333333
33,JBi,Joe Biden,01-Mar-22,6,0.0,-0.1,0.5,0.0,-0.45,0.5,0.21428571428571427,0.10000000000000002,0.2,0.0,0.0,0.0,0.0,0.5,0.4,0.0
34,JBi,Joe Biden,01-Mar-22,7,0.0,0.5,0.0,0.0,0.0,0.125,0.0,0.0,0.1,0.0,0.2,0.0,-0.1875,-0.013333333333333329,0.0,0.0
